ID,WEEK,WOUND_TYPE,NAME,TOTAL_WOUND_AREA,WOUND_COUNT,AVG_WOUND_AREA,ACTIVE_STATUS,DW_CREATED_BY,DW_UPDATED_BY,DW_CREATION_TIMESTAMP,DW_UPDATED_TIMESTAMP
11559,Week 0,Diabetic Foot Ulcer,Aquacel Foam,1795.287,131,1,1,CVT_EMRPHASE2_UAT_SF_USER,CVT_EMRPHASE2_UAT_SF_USER,2025-01-21 13:14:12.725 Z,2025-01-21 13:14:12.725 Z
11560,Week 0,Diabetic Foot Ulcer,Aquacel Extra,3.78,4,1,1,CVT_EMRPHASE2_UAT_SF_USER,CVT_EMRPHASE2_UAT_SF_USER,2025-01-21 13:14:12.725 Z,2025-01-21 13:14:12.725 Z
11561,Week 0,Diabetic Foot Ulcer,Aquacel Ag+ Extra,2934.497,223,1,1,CVT_EMRPHASE2_UAT_SF_USER,CVT_EMRPHASE2_UAT_SF_USER,2025-01-21 13:14:12.725 Z,2025-01-21 13:14:12.725 Z
11562,Week 0,Diabetic Foot Ulcer,Aquacel Ag Surgical,24.39,7,1,1,CVT_EMRPHASE2_UAT_SF_USER,CVT_EMRPHASE2_UAT_SF_USER,2025-01-21 13:14:12.725 Z,2025-01-21 13:14:12.725 Z
11563,Week 0,Diabetic Foot Ulcer,Saf-Gel,1045.04,79,1,1,CVT_EMRPHASE2_UAT_SF_USER,CVT_EMRPHASE2_UAT_SF_USER,2025-01-21 13:14:12.725 Z,2025-01-21 13:14:12.725 Z
11564,Week 0,Diabetic Foot Ulcer,Aquacel Ag Foam,1131.25,84,1,1,CVT_EMRPHASE2_UAT_SF_USER,CVT_EMRPHASE2_UAT_SF_USER,2025-01-21 13:14:12.725 Z,2025-01-21 13:14:12.725 Z
11565,Week 0,Diabetic Foot Ulcer,Flexi-DRESS,83,11,1,1,CVT_EMRPHASE2_UAT_SF_USER,CVT_EMRPHASE2_UAT_SF_USER,2025-01-21 13:14:12.725 Z,2025-01-21 13:14:12.725 Z
11566,Week 0,Diabetic Foot Ulcer,Duoderm Signal,25,3,1,1,CVT_EMRPHASE2_UAT_SF_USER,CVT_EMRPHASE2_UAT_SF_USER,2025-01-21 13:14:12.725 Z,2025-01-21 13:14:12.725 Z
11567,Week 0,Diabetic Foot Ulcer,Duoderm Gel,1804.673,123,1,1,CVT_EMRPHASE2_UAT_SF_USER,CVT_EMRPHASE2_UAT_SF_USER,2025-01-21 13:14:12.725 Z,2025-01-21 13:14:12.725 Z
11568,Week 0,Diabetic Foot Ulcer,Duoderm CGF,1292.58,81,1,1,CVT_EMRPHASE2_UAT_SF_USER,CVT_EMRPHASE2_UAT_SF_USER,2025-01-21 13:14:12.725 Z,2025-01-21 13:14:12.725 Z
